repo,fork_default_branch,vs_upstream_main_status,commits_ahead_of_upstream_main,commits_behind_upstream_main,branches_on_fork_not_on_upstream,branches_on_upstream_not_on_fork,compare_error,fork_pushed_at,fork_stars
ruabbit/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
pluginslab/vphone-cli,main,diverged,6,38,docs/automation-mcp;feat/host-control-automation;fix/setup-machine-ecid-race,,,2026-04-01T22:59:13Z,0
rizalcuyyy/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
cooslife/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
ZeokZqom/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
Mriris/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
dustink66/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
DargonLee/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
CaquinhoDev/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
RazvanMR/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
csclinicdrangga/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
dekinsq/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
aoxiaobao/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
INNVENCIBLE/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
aiLab-2030/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
pole5tar/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
Shiho-Patch/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
chenshang3/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
NotGlitchy32/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
wudigod12/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
cgy-of-python/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
kairkiss/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,1
pingfanH/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
doskoi/vphone-cli,main,behind,0,37,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-02T01:05:20Z,0
affilares/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
ElvisJENSEN/vphone-cli,main,behind,0,31,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-05T03:49:19Z,0
EdwinKestler/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
beholy/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
RATING3PRO/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
mdparvezahmed/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
ntars/vphone,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
sudoWright/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
wj8400684/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
aiyhome/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
BestialYang/vphone-cli-bak,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
a582468113/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
icodesign/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
fanfan493/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
xqiljkxw/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
comicchang/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
uni7corn/vphone-cli,main,identical,0,0,,feat/vphoned-modules-and-menus;swift-yyds,,2026-04-30T13:52:36Z,0
hero-heilun/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
KhoraLee/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
kolal2020/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
balgron/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
WuDiTangYuan/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
yyb0813/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
leileigwl/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
Mu1337/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
demonnico/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
Hellmessage/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
renjiaandy/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
neoayi/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
iboytech/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
alxe-so-le/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
ylyking/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
108518/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
xorweak/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
longdabai-solo/vphone-cli,main,behind,0,38,feat/jb-test-suite;patches-jb,,,2026-03-31T20:48:37Z,0
H5Z2P5Z2P/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
sam1101-sys/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
bcpx/vphone-cli,main,behind,0,38,,,,2026-03-18T18:24:01Z,0
jiazhijun/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
bytebai920/vphone-cli,main,behind,0,38,,feat/vphoned-modules-and-menus;swift-yyds,,2026-03-18T18:24:01Z,0
